"yt";"issued";"title";"value";"color";"type"
145;1920;"Allégorie type Merson";"2 ₣ - French franc";"Light blue | Orange red";"timbre"
146;1914;"Red Cross";"10+5 French centime";"Dark red";"timbre"
147;1914;"Red Cross";"10+5 French centime";"Red";"timbre"
148;1917;"Orphelins de guerre - la veuve de guerre";"2+3 French centime";"Brown lilac";"timbre"
149;1919;"Orphelins de guerre - orphelins de guerre";"5+5 French centime";"Green";"timbre"
150;1917;"Orphelins de guerre - la femme aux champs";"15+10 French centime";"Grey green";"timbre"
151;1917;"Orphelins de guerre - la femme aux champs";"25+15 French centime";"Light blue";"timbre"
152;1917;"Orphelins de guerre - Tranchée et drapeau";"35+25 French centime";"Slate | Violet";"timbre"
153;1917;"Belfort Lion";"50+50 French centime";"Light brown";"timbre"
154;1917;"The Marseillaise";"1+1 ₣ - French franc";"Carmine | Pink";"timbre"
155;1917;"The Marseillaise";"5+5 ₣ - French franc";"Black | Blue";"timbre"
156;1918;"Bénéfit  Red Cross";"15+5 French centime";"Dark green grey | Red";"timbre"
157;1919;"Overprint on type Blanc";"½ French centime";"Grey black";"timbre"
"157a";1919;"Overprint on type Blanc";"½ French centime";"Slate";"timbre"
"157b";1919;"Overprint on type Blanc";"½ French centime";"Grey";"timbre"
"157f";1919;"Overprint on type Blanc";"½ French centime";"Grey";"timbre"
158;1921;"Semeuse fond plein sans sol";"5 French centime";"Orange";"timbre"
"158a";1921;"Semeuse fond plein sans sol";"5 French centime";"Orange";"timbre"
159;1923;"Semeuse fond plein sans sol";"10 French centime";"Green";"timbre"
"159a";1922;"Semeuse fond plein sans sol";"10 French centime";"Green";"timbre"
"159b";1922;"Semeuse fond plein sans sol";"10 French centime";"Green";"timbre"
160;1922;"Semeuse camée";"30 French centime";"Brick red";"timbre"
161;1921;"Semeuse camée";"50 French centime";"Blue";"timbre"
162;1922;"War";"2+1 French centime";"Brown lilac";"timbre"
163;1922;"War";"5+2½ French centime";"Green";"timbre"
164;1922;"War";"15+5 French centime";"Grey green";"timbre"
165;1922;"War";"25+5 French centime";"Light blue";"timbre"
166;1922;"Barbed wire & flag";"35+5 French centime";"Slate | Violet";"timbre"
167;1922;"Belfort Lion";"50+10 French centime";"Dark brown | Yellow brown";"timbre"
168;1922;"The Marseillaise";"1+0.25 ₣ - French franc";"Carmine | Pink";"timbre"
169;1922;"The Marseillaise";"5+1 ₣ - French franc";"Black | Blue grey";"timbre"
170;1923;"Pasteur, Louis";"10 French centime";"Green";"timbre"
171;1924;"Pasteur, Louis";"15 French centime";"Green";"timbre"
172;1926;"Pasteur, Louis";"20 French centime";"Green";"timbre"
173;1923;"Pasteur, Louis";"30 French centime";"Red";"timbre"
174;1926;"Pasteur, Louis";"30 French centime";"Green";"timbre"
175;1924;"Pasteur, Louis";"45 French centime";"Red";"timbre"
176;1923;"Pasteur, Louis";"50 French centime";"Blue";"timbre"
177;1924;"Pasteur, Louis";"75 French centime";"Blue";"timbre"
178;1926;"Pasteur, Louis";"90 French centime";"Red";"timbre"
179;1925;"Pasteur, Louis";"1 ₣ - French franc";"Blue";"timbre"
180;1926;"Pasteur, Louis";"1.25 ₣ - French franc";"Blue";"timbre"
181;1926;"Pasteur, Louis";"1.50 ₣ - French franc";"Blue";"timbre"
182;1923;"Philatelic congress surchargé BORDEAUX";"1 ₣ - French franc";"Lilac red | Olive";"timbre"
183;1924;"Olympic Games";"10 French centime";"Bright green | Green";"timbre"
184;1924;"Olympic Games";"25 French centime";"Carmine | Pink";"timbre"
185;1924;"Olympic Games";"30 French centime";"Black | Brown red";"timbre"
186;1924;"Olympic Games";"50 French centime";"Blue | Ultramarine";"timbre"
188;1927;"Semeuse Camée";"10 French centime";"Green";"timbre"
"188A";1926;"Semeuse Camée";"10 French centime";"Green";"timbre"
"188B";1926;"Semeuse Camée";"10 French centime";"Green";"timbre"
189;1926;"Semeuse camée";"15 French centime";"Brown lilac";"timbre"
"189b";1936;"Semeuse camée";"15 French centime";"Brown lilac";"timbre"
190;1926;"Semeuse camée";"20 French centime";"Lilac";"timbre"
"190a";1935;"Semeuse camée";"20 French centime";"Lilac pink";"timbre"
"190b";1935;"Semeuse camée";"20 French centime";"Lilac pink";"timbre"
191;1925;"Semeuse camée";"30 French centime";"Pink";"timbre"
"191a";1925;"Semeuse camée";"30 French centime";"Pink";"timbre"
"191b";1925;"Semeuse fond plein sans sol";"30 French centime";"Pink";"timbre"
192;1925;"Semeuse camée";"30 French centime";"Light blue";"timbre"
"192a";1925;"Semeuse fond plein sans sol";"30 French centime";"Blue";"timbre"
193;1925;"Semeuse camée";"40 French centime";"Olive brown";"timbre"
"193b";1926;"Semeuse camée";"40 French centime";"Olive brown";"timbre"
194;1926;"Semeuse camée";"40 French centime";"Vermilion";"timbre"
"194a";1926;"Semeuse fond plein sans sol";"40 French centime";"Vermilion";"timbre"
195;1925;"Semeuse camée";"1.05 ₣ - French franc";"Red";"timbre"
196;1926;"Semeuse camée";"1.40 ₣ - French franc";"Pink lilac";"timbre"
197;1926;"Semeuse lignée";"45 French centime";"Violet";"timbre"
"197a";1926;"Semeuse lignée";"45 French centime";"Light violet";"timbre"
198;1926;"Semeuse lignée";"50 French centime";"Olive";"timbre"
"198a";1926;"Semeuse lignée";"50 French centime";"Green";"timbre"
199;1926;"Semeuse lignée";"50 French centime";"Red";"timbre"
"199b";1926;"Semeuse lignée";"50 French centime";"Red";"timbre"
"199g";1929;"Semeuse lignée";"50 French centime";"Red";"timbre"
200;1924;"Semeuse fond ligné";"60 French centime";"Violet";"timbre"
201;1924;"Semeuse fond ligné";"65 French centime";"Pink";"timbre"
202;1926;"Semeuse lignée";"75 French centime";"Red lilac";"timbre"
203;1925;"Semeuse lignée.";"80 French centime";"Red";"timbre"
204;1924;"Semeuse fond ligné";"85 French centime";"Red";"timbre"
205;1926;"Semeuse lignée";"1 ₣ - French franc";"Blue";"timbre"
"205a";1926;"Semeuse lignée";"1 ₣ - French franc";"Blue black";"timbre"
206;1925;"Allegorical subjects (Type Merson)";"3 ₣ - French franc";"Blue | Violet";"timbre"
207;1926;"Allegorical subjects (Type Merson)";"10 ₣ - French franc";"Green | Red";"timbre"
208;1926;"Allegorical subjects (Type Merson)";"20 ₣ - French franc";"Multicolor";"timbre"
209;1924;"Pierre de Ronsard (1524-1585) poet";"75 French centime";"Blue";"timbre"
210;1925;"Torch";"10 French centime";"Green black | Yellow";"timbre"
211;1925;"Flower vase";"15 French centime";"Blue green | Green";"timbre"
212;1924;"Paris- Art Exhibition";"25 French centime";"Lilac brown | Violet brown";"timbre"
213;1925;"Castle terrace";"25 French centime";"Grey blue | Violet";"timbre"
214;1924;"Potter and vase";"75 French centime";"Grey | Ultramarine";"timbre"
215;1925;"Torch";"75 French centime";"Dark blue | Light blue";"timbre"
216;1925;"Stampexhibition";"5 ₣ - French franc";"Carmine";"timbre"
217;1926;"Semeuse camée";"25 French centime";"Light blue";"timbre"
"217a";1926;"Semeuse camée";"25 French centime";"Light blue";"timbre"
"217b";1926;"Semeuse camée";"25 French centime";"Light blue";"timbre"
218;1926;"Sowing";"25 French centime";"Bright violet";"timbre"
219;1926;"Pasteur, Louis";"50 French centime";"Blue";"timbre"
220;1927;"Semeuse lignée 50c on 80c";"50 French centime";"Red";"timbre"
221;1927;"Semeuse lignée 50c on 85c";"50 French centime";"Red";"timbre"
222;1926;"Pasteur, Louis";"50 French centime";"Blue";"timbre"
223;1927;"Semeuse lignée";"50 French centime";"Violet";"timbre"
224;1927;"Semeuse lignée";"50 French centime";"Pink";"timbre"
225;1927;"Semeuse camée";"50 French centime";"Vermilion";"timbre"
227;1926;"Semeuse camée";"90 French centime";"Red";"timbre"
228;1926;"Semeuse camée";"1.10 ₣ - French franc";"Pink lilac";"timbre"
229;1926;"Troisième série orphelins";"2+1 French centime";"Dark lilac";"timbre"
230;1927;"Belfort Lion";"50+10 French centime";"Brown | Dark brown";"timbre"
231;1927;"The Marseillaise";"1+0.25 ₣ - French franc";"Carmine";"timbre"
232;1926;"The Marseillaise";"5+1 ₣ - French franc";"Black | Blue";"timbre"
233;1929;"Allegorical subjects (Type Blanc type II))";"10 French centime";"Violet";"timbre"
234;1927;"Semeuse lignée";"65 French centime";"Olive";"timbre"
235;1927;"Semeuse fond plein";"25 French centime";"Brown orange";"timbre"
"235a";1929;"Semeuse fond plein";"25 French centime";"Brown orange";"timbre"
236;1927;"Semeuse fond plein";"40 French centime";"Violet";"timbre"
237;1928;"sower cameo (Type II)";"40 French centime";"Ultramarine";"timbre"
"237a";1928;"sower cameo (Type II)";"40 French centime";"Grey blue";"timbre"
238;1927;"Semeuse fond plein";"1.10 ₣ - French franc";"Lilac pink";"timbre"
239;1931;"Cameo Sower";"2 ₣ - French franc";"Blue green";"timbre"
240;1927;"Allégorie Type Merson";"3 ₣ - French franc";"Carmine | Lilac";"timbre"
241;1927;"Semeuse fond plein";"5 ₣ - French franc";"Blue";"timbre"
242;1927;"Semeuse fond plein";"10 ₣ - French franc";"Red";"timbre"
"242A";1927;"Expo. Philatélique de Strasbourg";"15 ₣ - French franc";"Blue | Red";"timbre"
243;1927;"Birth Centenary of Marcelin Berthelot (1827-1907)";"90 French centime";"Red";"timbre"
244;1927;"Lafayette, Washington, Spirit of St. Louis";"90 French centime";"Red";"timbre"
245;1927;"Lafayette, Washington, Spirit of St. Louis";"1.50 ₣ - French franc";"Ultramarine";"timbre"
246;1927;"Semeuse fond plein";"40+10 French centime";"Light blue";"timbre"
247;1927;"Semeuse lignée";"50+25 French centime";"Blue green";"timbre"
248;1927;"Type Pasteur";"1.50+0.50 ₣ - French franc";"Red orange";"timbre"
249;1928;"Sinking Fund";"40+10 French centime";"Grey violet";"timbre"
250;1928;"Sinking Fund";"50+25 French centime";"Red Brown";"timbre"
251;1928;"Sinking Fund";"1.50+0.50 ₣ - French franc";"Lilac";"timbre"
252;1928;"Sinking Fund. Work";"1.50+8.50 ₣ - French franc";"Blue";"timbre"
253;1929;"Sinking Fund";"40+10 French centime";"Green";"timbre"
254;1929;"Sinking Fund";"50+25 French centime";"Lilac pink";"timbre"
255;1929;"Sinking Fund";"1.50+50 ₣ - French franc";"Brown red";"timbre"
256;1930;"Sinking Fund. The Smile of Reims";"1.50+3.50 ₣ - French franc";"Lilac";"timbre"
257;1929;"500th Anniversary of Relief of Orleans";"50 French centime";"Blue";"timbre"
"257A";1929;"Philatelic Exhibition in Le Havre - Type Merson";"2+5 ₣ - French franc";"Green blue | Orange";"timbre"
258;1931;"The Arc de Triomphe in Paris";"2 ₣ - French franc";"Brown red";"timbre"
259;1930;"Reims- Cathedral (Yvert/Maury Type I)";"3 ₣ - French franc";"Blue grey";"timbre"
"259a";1930;"Reims- Cathedral (Yvert/Maury Type II)";"3 ₣ - French franc";"Blue grey";"timbre"
"259b";1931;"Reims- Cathedral (Yvert/Maury Type III)";"3 ₣ - French franc";"Blue grey";"timbre"
"259c";1931;"Reims- Cathedral (Yvert/Maury Type IV)";"3 ₣ - French franc";"Blue grey";"timbre"
260;1931;"Mont Saint Michel";"5 ₣ - French franc";"Dark brown";"timbre"
"260a";1931;"Mont Saint Michel";"5 ₣ - French franc";"Brown";"timbre"
261;1931;"La Rochelle- Harbour (type III)";"10 ₣ - French franc";"Blue";"timbre"
"261b";1929;"La Rochelle - Harbour (Type I)";"10 ₣ - French franc";"Pale blue";"timbre"
"261c";1930;"La Rochelle - Harbour (Type II)";"10 ₣ - French franc";"Blue";"timbre"
262;1931;"Pont du Gard";"20 ₣ - French franc";"Red Brown";"timbre"
"262A";1929;"PONT DU GARD";"20 ₣ - French franc";"Red Brown";"timbre"
"262B";1930;"Pont du Gard";"20 ₣ - French franc";"Light red brown";"timbre"
263;1930;"Centenary of French Conquest of Algeria";"50 French centime";"Blue | Carmine red";"timbre"
264;1930;"Congress of B.I.T.";"50 French centime";"Red";"timbre"
265;1930;"Congress of B.I.T.";"1.50 ₣ - French franc";"Blue";"timbre"
266;1930;"Sinking Fund";"40+10 French centime";"Pink";"timbre"
267;1930;"Sinking Fund";"50+25 French centime";"Brown";"timbre"
268;1930;"Sinking Fund";"1.50+0.50 ₣ - French franc";"Violet";"timbre"
269;1931;"Sinking Fund. Caps regions";"1.50+3.50 ₣ - French franc";"Yellowish green";"timbre"
270;1930;"Woman of the Fachi Tribe";"15 French centime";"Slate";"timbre"
271;1930;"Woman of the Fachi Tribe";"40 French centime";"Sepia";"timbre"
272;1930;"Woman of the Fachi Tribe";"50 French centime";"Red";"timbre"
"272a";1930;"Woman of the Fachi Tribe";"50 French centime";"Red";"timbre"
273;1930;"Woman of the Fachi Tribe";"1.50 ₣ - French franc";"Blue";"timbre"
274;1931;"French Colonies";"1.50 ₣ - French franc";"Blue";"timbre"
275;1931;"Sinking Fund";"40+10 French centime";"Olive";"timbre"
276;1931;"Sinking Fund";"50+25 French centime";"Bright violet";"timbre"
277;1931;"Sinking Fund";"1.50+0.50 ₣ - French franc";"Dark red";"timbre"
"277A";1933;"Cameo Sower";"1 French centime";"Olive brown";"timbre"
"277B";1936;"cameo Sower";"1 French centime";"Bistre brown";"timbre"
278;1933;"Cameo Sower";"2 French centime";"Dark olive green";"timbre"
"278A";1933;"Cameo Sower";"3 French centime";"Orange red";"timbre"
"278B";1934;"Cameo Sower";"5 French centime";"Purple carmine";"timbre"
279;1932;"Cameo Sower (type III)";"10 French centime";"Ultramarine";"timbre"
"279A";1933;"Cameo Sower overcrowded";"½ French centime";"Olive brown";"timbre"
"279a";1933;"Cameo Sower (type IV)";"10 French centime";"Ultramarine";"timbre"
"279B";1937;"Type cameo Sower";"½ French centime";"Bistre brown";"timbre"
280;1933;"Type Peace";"30 French centime";"Blue green";"timbre"
281;1933;"Type Peace (type I)";"40 French centime";"Lilac";"timbre"
"281a";1932;"Type Peace (type II)";"40 French centime";"Lilac";"timbre"
282;1933;"Type Peace";"45 French centime";"Bistre";"timbre"
283;1932;"Type Peace (type I)";"50 French centime";"Red";"timbre"
"283a";1932;"Type Peace with label (type I)";"50 French centime";"Red";"timbre"
"283b";1933;"Type Peace (IIA)";"50 French centime";"Red";"timbre"
"283c";1933;"Type Peace with advertising (type IIA)";"50 French centime";"Red";"timbre"
"283d";1933;"Type Peace (IIB)";"50 French centime";"Red";"timbre"
"283e";1935;"Type Peace (III)";"50 French centime";"Red";"timbre"
"283f";1935;"Type Peace with advertising (type III)";"50 French centime";"Red";"timbre"
"283g";1935;"Type Peace (IV)";"50 French centime";"Red";"timbre"
"283h";1935;"Type Peace with advertising (type IV)";"50 French centime";"Red";"timbre"
284;1933;"Type Peace";"65 French centime";"Violet brown";"timbre"
"284A";1932;"Type Peace";"75 French centime";"Olive green";"timbre"
285;1932;"Type Peace";"90 French centime";"Dark red";"timbre"
286;1933;"Type Peace (type II)";"1 ₣ - French franc";"Orange";"timbre"
"286a";1933;"Type Peace (type I)";"1 ₣ - French franc";"Orange";"timbre"
287;1932;"Type Peace";"1.25 ₣ - French franc";"Olive";"timbre"
288;1932;"Type Peace";"1.50 ₣ - French franc";"Blue";"timbre"
289;1932;"Type Peace";"1.75 ₣ - French franc";"Purple carmine";"timbre"
290;1933;"Le Puy en Velay";"90 French centime";"Red lilac";"timbre"
291;1933;"Briand Aristide (1862-1932) politician";"30 French centime";"Green blue";"timbre"
292;1933;"Doumer Paul (1857-1932) statesman";"75 French centime";"Lilac";"timbre"
293;1933;"Hugo Victor (1802-1885) writer";"1.25 ₣ - French franc";"Lilac red";"timbre"
294;1934;"Dove of Peace by Daragnès";"1.50 ₣ - French franc";"Ultramarine";"timbre"
295;1934;"Jacquard Joseph Marie (1752-1834)";"40 French centime";"Blue grey";"timbre"
296;1934;"Cartier Jacques (1491-1557)";"75 French centime";"Lilac pink";"timbre"
297;1934;"Cartier Jacques (1491-1557)";"1.50 ₣ - French franc";"Blue";"timbre"
"297a";1934;"Cartier Jacques (1491-1557)";"1.50 ₣ - French franc";"Blue";"timbre"
298;1934;"Type Peace, overprinted";"50 French centime";"Olive";"timbre"
299;1935;"Liner Normandie";"1.50 ₣ - French franc";"Blue";"timbre"
300;1936;"The liner Normandie";"1.50 ₣ - French franc";"Light blue";"timbre"
301;1935;"Breton river";"2 ₣ - French franc";"Blue green";"timbre"
302;1935;"Arles: Cloister of Saint Trophimus church";"3.50 ₣ - French franc";"Brown";"timbre"
303;1935;"Benjamin Delessert (1773-1847). Founder of Savings Banks";"75 French centime";"Blue green";"timbre"
304;1935;"Victor Hugo (1802-1885) poet";"1.25 ₣ - French franc";"Pink lilac";"timbre"
305;1935;"Armand Jean du Plessis Cardinal de Richelieu (1585-1642)";"1.50 ₣ - French franc";"Purple carmine";"timbre"
306;1935;"Callot Jacques (1592-1635) etcher & engraver";"75 French centime";"Red Brown";"timbre"
307;1935;"For the unemployed intellectuals";"50+10 French centime";"Blue";"timbre"
308;1935;"For the unemployed intellectuals";"0.50+2 ₣ - French franc";"Brick red";"timbre"
309;1936;"Aid to Refugees";"75+50 French centime";"Violet";"timbre"
310;1936;"Ampère André Marie (1775-1836) physicist";"75 French centime";"Brown";"timbre"
311;1936;"The Mill of Alphonse Daudet (Fontvieille)";"2 ₣ - French franc";"Ultramarine";"timbre"
312;1936;"Help for children of unemployed";"50+10 French centime";"Brick red";"timbre"
313;1936;"François Pilâtre de Rozier (1754-1785) physicist & balloonis";"75 French centime";"Green blue";"timbre"
314;1936;"Claude Rouget de Lisle (1760-1836), Poet & Composer";"20 French centime";"Green blue";"timbre"
315;1936;"La Marseillaise by Rude (high relief from the Arc de Triomph";"40 French centime";"Dark brown";"timbre"
316;1936;"Canadian Vimy Monument";"75 French centime";"Brown red";"timbre"
317;1936;"Canadian Vimy Monument";"1.50 ₣ - French franc";"Violet blue";"timbre"
318;1936;"Jean Jaurès (1859-1914)";"40 French centime";"Brownish red";"timbre"
319;1936;"Jean Jaurès (1859-1914)";"1.50 ₣ - French franc";"Ultramarine";"timbre"
320;1936;"100th Atlantic Crossing of French Postal Aircraft";"1.50 ₣ - French franc";"Violet blue";"timbre"
321;1936;"100th Atlantic Crossing of French Postal Aircraft";"10 ₣ - French franc";"Dark green";"timbre"
322;1936;"Herald";"20 French centime";"Lilac";"timbre"
323;1936;"Herald";"30 French centime";"Green blue";"timbre"
324;1936;"Herald";"40 French centime";"Ultramarine";"timbre"
325;1936;"Herald";"50 French centime";"Orange red";"timbre"
326;1936;"Globe";"90 French centime";"Carmine";"timbre"
327;1936;"Globe";"1.50 ₣ - French franc";"Ultramarine";"timbre"
328;1936;"PAX: International Rally for Peace in Paris";"1.50 ₣ - French franc";"Blue";"timbre"
329;1936;"For Art and Thought";"50+2+20 ₣ - French franc";"Dark red";"timbre"
330;1936;"For the unemployed intellectuals - Jacques Callot";"20+10 French centime";"Brown lilac";"timbre"
331;1936;"For the unemployed intellectuals - Hector Berlioz";"40+10 French centime";"Green";"timbre"
332;1936;"For the unemployed intellectuals - Victor Hugo";"50+10 French centime";"Dark red";"timbre"
